Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2020-01-07,1511.468017578125,1343.28564453125,27051.451171875,27087.486328125,224463.72166808695,233152.83555684984,6378.40283203125,302600.3732938692,958147.9986435771
2020-01-08,1495.7236328125,1352.260498046875,27122.833984375,26877.216796875,228137.07586288452,239078.6295337677,6378.40283203125,304688.70712280273,971867.0057907104
2020-01-09,1504.720458984375,1364.2274169921875,26492.341796875,26778.26953125,228138.1530418396,241621.51084899902,6378.40283203125,301316.97142219543,968268.3391113281
2020-01-10,1529.46142578125,1355.2523193359375,26397.1796875,26370.1015625,230667.49868783727,243281.35356835648,6378.40283203125,300972.4484013133,970022.5515048802
2020-01-13,1538.4586181640625,1358.2440185546875,26516.1328125,26308.26171875,228805.15471673012,244578.03076708317,6378.40283203125,299946.91469335556,961477.7744879723
2020-01-14,1531.7108154296875,1376.1943359375,26528.033203125,26592.734375,231913.1684036255,246166.6089706421,6323.4169921875,308304.1207122803,979450.1821289062
2020-01-15,1527.2122802734375,1376.1943359375,26646.9921875,26580.373046875,234575.7577419281,246442.53210639954,6763.30517578125,309586.5634498596,986983.9028930664
2020-01-16,1531.7108154296875,1388.161376953125,26813.5390625,27136.958984375,237199.9526634626,250413.960920915,6389.39990234375,312436.94967907295,998714.481881097
2020-01-17,1531.7108154296875,1388.161376953125,26813.5390625,27582.236328125,243667.780373618,254928.89215189219,6389.39990234375,318117.4887662567,1008915.7094704211
2020-01-21,1511.468017578125,1379.1859130859375,27170.419921875,27223.53515625,244808.34253311157,253917.9227180481,6367.40478515625,319170.460395813,1009587.1861114502
2020-01-22,1497.9727783203125,1391.15283203125,27003.873046875,27013.267578125,246830.89812310785,256649.06181875244,6653.33447265625,321179.4313171506,1017030.6988580972
2020-01-23,1491.2252197265625,1418.07861328125,27051.451171875,27038.005859375,245156.09545898438,255993.73665618896,6598.3486328125,314338.69369125366,1010815.6868286133
2020-01-24,1479.97900390625,1418.07861328125,27241.79296875,27149.326171875,244266.1857822407,257542.03933202103,6598.3486328125,314105.93475794233,1010595.3398393691
2020-01-27,1441.7425537109375,1412.094970703125,26706.4765625,26419.578125,238794.69844968617,250247.9025609512,6345.41064453125,308939.8033171557,995302.1511767507
2020-01-28,1434.9951171875,1421.0703125,26765.953125,26345.359375,244437.7828388214,259999.8036403656,6257.43359375,312677.73432540894,1016349.082901001
2020-01-29,1437.2442626953125,1427.0537109375,26861.119140625,26431.9453125,244453.25939941406,264329.1216430664,6488.37548828125,309598.97717285156,1011378.5419921875
2020-01-30,1439.4932861328125,1433.0372314453125,27015.763671875,26419.578125,244171.8971248269,264086.38504477404,6191.44970703125,304644.38042338006,1014969.8195323497
2020-01-31,1430.4964599609375,1433.0372314453125,26587.515625,26246.4140625,242517.4383945465,254423.24146842957,6191.44970703125,301202.7764453888,1005009.7338638306
2020-02-03,1412.5029296875,1439.0203857421875,26646.9921875,26209.30859375,251322.8864224255,254101.47114473954,5993.49853515625,310953.44475419633,1013726.559242174
2020-02-04,1432.745849609375,1459.962890625,27301.27734375,26741.16015625,243257.47618675232,260603.57995033264,6092.47509765625,315280.2864074707,1022052.1305084229
2020-02-05,1434.9951171875,1450.9874267578125,27943.646484375,27075.115234375,243284.86458135396,262641.92085555196,6224.4404296875,312564.71599407494,1033087.2739100456
2020-02-06,1437.2442626953125,1430.0455322265625,27931.759765625,27334.85546875,246153.59792891517,263397.31171038933,6180.4521484375,309007.4720699452,1028000.8984155357
2020-02-07,1446.2412109375,1430.0455322265625,28074.51171875,27384.330078125,247825.13585178182,261026.06960875914,6180.4521484375,307875.62960674986,1027183.5577078909
2020-02-10,1446.2412109375,1424.06201171875,28086.40234375,27508.01953125,255004.29385615885,264577.38143558055,6180.4521484375,312400.87385075167,1043906.2845943868
2020-02-11,1479.97900390625,1424.06201171875,27658.14453125,27186.4375,258705.7982120514,266551.12660217285,6048.4853515625,316641.70689582825,1060028.0653915405
2020-02-12,1518.2156982421875,1436.0289306640625,27693.8359375,27198.810546875,257451.6091045849,270025.77278165147,5938.51318359375,322663.7168191895,1055662.6251513362
2020-02-13,1511.468017578125,1442.012451171875,27705.732421875,27508.01953125,254135.41182518005,265565.8398628235,5883.5263671875,320758.44414711,1044377.2464752197
2020-02-14,1495.7236328125,1436.0289306640625,27634.357421875,27644.080078125,254169.75246589445,264733.04758332856,5905.52099609375,320199.6032411903,1042352.2286066115
2020-02-18,1513.7174072265625,1433.0372314453125,27598.669921875,27149.326171875,255781.2765324954,261411.18787711114,6015.494140625,317288.7721323781,1045966.2076596692
2020-02-19,1556.452392578125,1436.0289306640625,27717.634765625,27322.49609375,248558.0337753296,256790.27953338623,5938.51318359375,308616.202293396,1017659.5334472656
2020-02-20,1545.206298828125,1474.9212646484375,27491.607421875,27025.642578125,254551.85651779175,261636.7896080017,5861.53173828125,317917.06208229065,1043328.8371276855
2020-02-21,1540.707763671875,1483.8966064453125,25409.810546875,25059.015625,250315.87049269304,257142.82106961682,5751.5595703125,312583.67316536605,1038369.9980460107
2020-02-24,1497.9727783203125,1543.7310791015625,24803.115234375,24786.900390625,238991.99789393507,244323.15480242483,5630.59033203125,298312.21493517794,1001236.782216981
2020-02-25,1484.4775390625,1537.7474365234375,25136.201171875,24947.697265625,235699.08907723427,238427.14107633382,5608.595703125,291863.2961048633,981006.29565081
2020-02-26,1477.72998046875,1492.871826171875,25302.74609375,24539.525390625,236821.1324081421,242636.18908691406,5883.5263671875,289544.8946723938,978949.1564483643
2020-02-27,1403.5059814453125,1489.8798828125,25088.625,24428.2109375,225377.07557678223,228211.621427536,5707.5703125,280451.85713768005,940441.8489456177
2020-02-28,1396.7584228515625,1442.012451171875,25029.140625,24118.986328125,232464.1932735443,230981.7837753296,5696.5732421875,287479.7689476013,943486.8969955444
